Ensemble,Folds,Avg_Train_AUC,Avg_Train_F1,Avg_Val_AUC,Avg_Val_MCC,Avg_Val_Kappa,Avg_Val_F1_Binary,Avg_Val_F1_Macro,Avg_Val_Accuracy,Avg_Val_BalancedAccuracy,Avg_Val_Sensitivity,Avg_Val_Specificity,Avg_Val_PPV,Avg_Val_NPV,Avg_Per_Class_Precision,Avg_Per_Class_Recall,Avg_Per_Class_F1,Avg_Per_Class_Accuracy
Gradient Boosting + Logistic Regression + Gradient Boosting,2,0.923357668632383,0.798121296292028,0.7786650346256798,0.3412220638984068,0.32836072543749395,0.47981976799923304,0.6596238825376282,0.754673408107863,0.6478004033376566,0.4004961899698742,0.8951046167054393,0.6040845212819734,0.7906669800819203,"0.791, 0.604","0.895, 0.400","0.839, 0.480","0.895, 0.400"
Random Forest + Random Forest + Naive Bayes,2,0.9148971157752319,0.8378711992043194,0.720541256642383,0.31471855533189774,0.3086567299385472,0.47866285835184597,0.6518041995691984,0.7386358181730908,0.644146188991505,0.427266081871345,0.861026296111665,0.5523190045248869,0.7924873159044465,"0.792, 0.552","0.861, 0.427","0.825, 0.479","0.861, 0.427"
Random Forest + SVM + Random Forest,2,0.9148934568087077,0.8460038311523461,0.7543133310628887,0.24481512190882088,0.18788875085096962,0.2844927889168493,0.5634547443854125,0.7419505378752727,0.5745127983827183,0.1869794435583909,0.9620461532070455,0.6652759948652118,0.7497640512970347,"0.750, 0.665","0.962, 0.187","0.842, 0.284","0.962, 0.187"
Random Forest + SVM + Gradient Boosting,2,0.9144971099395351,0.8300814792221876,0.7647797250538734,0.2442387150092497,0.20421688633930557,0.3275016199203925,0.5818172445709383,0.736675786812589,0.5834238890739619,0.22887869927343613,0.9379690788744877,0.6079102339646665,0.7547566718995291,"0.755, 0.608","0.938, 0.229","0.836, 0.328","0.938, 0.229"
Gradient Boosting + Random Forest + Naive Bayes,2,0.9144106501126571,0.796387746840038,0.7270478672364481,0.3006313637686601,0.29378422379209845,0.46518458500025317,0.6440727631373184,0.7346090870787265,0.6358060473793046,0.40874756335282647,0.8628645314057827,0.5466717216058743,0.7871264135702747,"0.787, 0.547","0.863, 0.409","0.823, 0.465","0.863, 0.409"
Gradient Boosting + SVM + Random Forest,2,0.9144069911461328,0.8045203787880646,0.7584326716672006,0.22777376827978274,0.17707957476453884,0.2784332482993197,0.5588297284326246,0.7372917966687467,0.5705367712541094,0.18458709906078327,0.9564864434474354,0.6308823529411764,0.7481144500249854,"0.748, 0.631","0.956, 0.185","0.839, 0.278","0.956, 0.185"
Gradient Boosting + SVM + Gradient Boosting,2,0.9140106442769604,0.788598026857906,0.7685575793613706,0.24950318515277115,0.2029752882769123,0.31484082397003743,0.5773568938333915,0.7406385168829368,0.5820666682612097,0.21506734006734007,0.9490659964550792,0.6333333333333333,0.7537513538063795,"0.754, 0.633","0.949, 0.215","0.840, 0.315","0.949, 0.215"
Random Forest + Gradient Boosting + Naive Bayes,2,0.9138010451861904,0.8064500537480863,0.7241687541732218,0.2904419993890283,0.2821139527363927,0.44975704271013706,0.6372486098787322,0.7346410875907348,0.6287074821852889,0.38513423710792133,0.8722807272626565,0.5461298771676301,0.7824571428571429,"0.782, 0.546","0.872, 0.385","0.825, 0.450","0.872, 0.385"
Gradient Boosting + Gradient Boosting + Naive Bayes,2,0.9133145795236156,0.7649666013838049,0.7312641320603728,0.2961217240853063,0.28810636006893314,0.4557484401994734,0.6405180107742312,0.7359691088390747,0.6317864242974602,0.39223374091795143,0.8713391076769691,0.5493406593406593,0.7842073656680397,"0.784, 0.549","0.871, 0.392","0.825, 0.456","0.871, 0.392"
Random Forest + KNN + KNN,2,0.9099950184928377,0.732924129604274,0.7123000339621948,0.1987603889523194,0.17095011500013457,0.30569270984606445,0.5664219587488817,0.7233262398865048,0.5705034144973373,0.21707203615098353,0.9239347928436912,0.5333791208791209,0.7490913187656046,"0.749, 0.533","0.924, 0.217","0.827, 0.306","0.924, 0.217"
Gradient Boosting + KNN + KNN,2,0.9095085528302628,0.6914406772399926,0.7184050667432302,0.2188240995211464,0.1871621443276108,0.3193429433456252,0.5749034982519923,0.728675658810541,0.5770550481397382,0.22640882509303561,0.9277012711864407,0.5614906832298137,0.7520826504971048,"0.752, 0.561","0.928, 0.226","0.830, 0.319","0.928, 0.226"
Logistic Regression + Random Forest + Random Forest,2,0.9092301426543219,0.8440997478528947,0.764898359369879,0.3075328524811145,0.29234130488912025,0.4456559883691783,0.6398058501355204,0.744665247977301,0.6303567506102992,0.36554137869927344,0.8951721225213249,0.5833763700005739,0.7812988054535478,"0.781, 0.583","0.895, 0.366","0.834, 0.446","0.895, 0.366"
Logistic Regression + Random Forest + Gradient Boosting,2,0.9088337957851493,0.8281773959227362,0.775365431863682,0.309668402195028,0.2988247873868724,0.4587711095219759,0.6449483482713237,0.7426732161047911,0.635207468481495,0.3864522417153996,0.8839626952475905,0.5708175366968018,0.7847279078652911,"0.785, 0.571","0.884, 0.386","0.831, 0.459","0.884, 0.386"
Logistic Regression + Gradient Boosting + Random Forest,2,0.9081340720652804,0.8126786023966616,0.762214076765215,0.30822945533860346,0.29404122602783644,0.4477808083312671,0.6407433858087053,0.7446439143026289,0.6318850052050122,0.3704811270600744,0.8932888833499502,0.5799059929494712,0.7824133095359511,"0.782, 0.580","0.893, 0.370","0.834, 0.448","0.893, 0.370"
